"CATEGORY_CODE","ITEM_ID","ITEM_PRICE","ITEM_UPC","REPL_QTY","_FREQUENCY"
"20100","12449","1.48","12687641719","1","1"
"20100","12450","2.06","13016599699","1","3"
"20100","12451","1.95","17713402575","18","1"
"20100","12452","2.13","17652255244","24","1"
"20100","12453","1.94","15199358492","18","1"
"20100","12454","2.17","15289095101","12","3"
"20100","12455","2.21","11702546802","1","3"
"20100","12456","1.99","11209144827","24","1"
"20100","12457","2.08","15436494584","1","2"
"20100","12458","2.43","14307342300","1","2"
"20100","12459","1.98","19827310379","24","1"
"20100","12460","2.37","10963024848","12","3"
"20150","12461","5.94","19709229865","1","4"
"20150","12462","6.84","10844402054","12","3"
"20100","12463","2.03","10736954354","24","1"
"20100","12464","1.67","14100843541","12","1"
"20100","12465","1.65","19866466951","18","1"
"20100","12466","2.14","15341527147","1","3"
"20100","12467","1.82","13028606265","12","3"
"20100","12468","1.66","19810264845","18","1"
"20100","12469","1.93","15357264813","24","1"
"20100","12470","2.05","18673731126","12","1"
"20600","12471","5.1","18931625638","24","4"
"20190","12472","3.94","12116269338","1","2"
"20100","12473","1.54","19788645965","12","1"
"20640","12474","4.78","14424529719","1","2"
"20100","12475","2.12","13816720473","24","1"
"20100","12476","2.16","13559727387","18","4"
"20160","12477","11.67","14947010663","18","2"
"20160","12478","11.72","16370970916","24","1"
"20420","12479","9.65","15208018325","12","2"
"20100","12480","2.08","11619949577","12","2"
"20100","12481","1.9","17450090313","12","1"
"20100","12482","2.39","10760213212","1","3"
"20100","12483","1.64","13347301376","1","4"
"20160","12484","12","17357977800","1","1"
"20100","12485","2.03","10594686035","12","2"
"20600","12486","5.27","17612852578","24","1"
"20100","12487","2.12","18902319355","18","1"
"20180","12488","4.14","14883227802","24","1"
"20400","12489","113.03","12109559621","12","2"
"20100","12490","1.96","11635346563","18","1"
"20100","12491","2.03","15079753022","12","2"
"20100","12492","1.59","14171681458","12","1"
"20100","12493","1.94","14649135328","24","2"
"20100","12494","1.84","17089110650","12","1"
"20140","12495","10.41","14033827554","18","1"
"20100","12496","2.24","10610563970","18","3"
"20670","12497","10.4","12878894225","1","4"
"20220","12498","31.23","11662273612","12","3"
"20100","12499","1.96","11255787632","12","2"
"20180","12500","3.21","12350366925","12","4"
"20100","12501","1.92","16674405564","12","3"
"20100","12502","2.03","13994479431","12","2"
"20800","12503","7.59","18102570618","24","2"
"20260","12504","56.05","18850516142","18","1"
"20100","12505","2.16","13773723490","1","1"
"20140","12506","9.8","17264520798","18","1"
"20100","12507","1.77","15668335082","24","4"
"20100","12508","1.73","15437090349","24","3"
"20100","12509","1.7","18887624772","24","1"
"20640","12510","5.29","17929391764","24","1"
"20100","12511","1.54","18144339624","12","1"
"20160","12512","11.9","14584814663","12","1"
"20100","12513","1.92","19695571476","12","2"
"20100","12514","1.98","16532539942","18","2"
"20100","12515","2.13","19429329869","1","1"
"20100","12516","2.21","10314302430","18","4"
"20100","12517","2.09","15802023187","24","1"
"20100","12518","2.1","13225509317","1","3"
"20100","12519","2.36","10519273468","1","4"
"20100","12520","2.21","16670871995","24","4"
"20600","12521","5.41","11877095426","18","4"
"20100","12522","1.95","13891665511","24","1"
"20100","12523","2.12","10663942293","1","3"
"20100","12524","2.19","14589196743","18","3"
"20100","12525","2.12","17279426663","12","3"
"20100","12526","1.51","18119573709","1","4"
"20100","12527","2.04","11527522713","1","1"
"20100","12528","1.49","12716825376","24","1"
"20100","12529","1.74","16018917692","18","3"
"20100","12530","2.01","13318853259","1","4"
"20100","12531","1.99","17946097541","24","3"
"20180","12532","3.58","10703437442","18","1"
"20100","12533","2.14","17896375228","18","1"
"20100","12534","2.41","12552845131","18","3"
"20100","12535","1.97","14067709940","24","3"
"20100","12536","1.87","12923433378","18","1"
"20620","12537","12.93","16364896412","24","2"
"20100","12538","2.03","13794450060","1","1"
"20160","12539","11.89","17729216130","1","3"
"20100","12540","1.56","19194023017","24","2"
"20150","12541","5.13","12019267349","24","2"
"20100","12542","2","14243070596","12","1"
"20100","12543","1.86","13311563706","18","2"
"20100","12544","1.97","12602087310","24","4"
"20100","12545","2.2","19605003091","24","2"
"20220","12546","29.41","12758364925","1","1"
"20100","12547","1.81","13139897221","18","2"
"20100","12548","2.04","15323388190","18","4"
"20100","12549","2.2","18847598291","24","3"
"20100","12550","1.82","15721471037","24","2"
"20100","12551","2.07","12336113322","1","2"
"20100","12552","2.04","11060412907","18","4"
"20100","12553","2.16","10559770744","18","2"
"20100","12554","1.97","10536167170","1","1"
"20100","12555","2.24","18344479089","1","1"
"20100","12556","1.95","12016190939","12","2"
"20100","12557","2.02","12808416001","24","1"
"20100","12558","2.48","14301296832","24","2"
"20100","12559","2.05","10221483376","12","4"
"20150","12560","5.21","17704408365","1","3"
"20100","12561","1.97","13920191802","12","1"
"20100","12562","2","17938484890","1","3"
"20100","12563","1.84","17828546072","24","1"
"20600","12564","5.02","12793025244","1","4"
"20160","12565","9.19","13431859775","18","1"
"20640","12566","4.27","10565810639","1","1"
"20100","12567","2","18105294890","12","3"
"20100","12568","1.97","14903673279","18","2"
"20100","12569","2.18","12010737152","18","2"
"20100","12570","2.09","12577130463","18","2"
"20100","12571","2.06","11920782651","1","1"
"20100","12572","2.21","18932090861","1","1"
"20160","12573","10.65","11898409374","18","1"
"20240","12574","14.82","19489734575","24","1"
"20100","12575","2.01","17211988863","12","2"
"20640","12576","4.66","10887022011","18","2"
"20160","12577","11.51","17599427793","1","2"
"20240","12578","17.36","17786397710","24","2"
"20100","12579","2.11","16274828291","18","2"
"20100","12580","1.98","11472522458","1","1"
"20100","12581","1.71","18839389433","12","2"
"20100","12582","2.14","19956644849","24","4"
"20160","12583","12.69","11613362390","1","3"
"20600","12584","4.55","11429703363","24","1"
"20100","12585","2.01","19145908891","24","1"
"20100","12586","2.08","15209541919","24","4"
"20100","12587","1.94","15713737706","24","4"
"20280","12588","15.02","14083285162","1","1"
"20380","12589","6.15","19148314925","18","3"
"20100","12590","1.76","19810890728","1","1"
"20160","12591","13.93","18258668501","12","1"
"20250","12592","15.4","13999293620","18","1"
"20100","12593","2.05","11582969272","24","2"
"20380","12594","7.85","12352711286","18","1"
"20640","12595","5.33","17514038419","1","2"
"20100","12596","2.35","17393757928","12","4"
"20100","12597","1.8","10675539582","18","1"
"20620","12598","15.5","12584085574","1","1"
"20100","12599","2","15203921089","18","2"
"20600","12600","4.71","12848858339","1","1"
"20100","12601","1.94","12165059386","12","2"
"20640","12602","4.78","12159145812","1","2"
"20100","12603","2.23","18866056777","12","1"
"20100","12604","2.14","17060885151","1","2"
"20100","12605","2.09","19295181492","24","1"
"20100","12606","2.15","16674554496","18","1"
"20600","12607","4.96","13996008382","24","4"
"20100","12608","2.29","15678242127","18","2"
"20140","12609","10.39","18973762501","12","2"
"20100","12610","1.75","11520997810","24","1"
"20160","12611","10.04","11228797038","18","1"
"20100","12612","2.13","19184747960","12","3"
"20600","12613","4.99","14922046145","24","2"
"20620","12614","13.96","17610179222","1","4"
"20100","12615","1.78","12279982078","1","3"
"20100","12616","1.91","17146406799","1","3"
"20620","12617","14.75","17799659339","18","2"
"20160","12618","11.38","14148669545","12","2"
"20280","12619","12.84","16245474355","1","2"
"20530","12620","20.78","15367514860","24","1"
"20600","12621","5.24","16928845324","12","1"
"20100","12622","1.99","19017220226","12","1"
"20160","12623","12.11","16864169469","18","1"
"20140","12624","9.5","16618310362","12","1"
"20100","12625","2.33","10355005105","12","1"
"20100","12626","1.94","19491835945","24","1"
"20100","12627","2.16","13825740001","18","2"
"20100","12628","1.91","14799358941","18","2"
"20140","12629","9.55","18117963722","24","1"
"20100","12630","1.67","10403993554","24","1"
"20730","12631","4.69","18957051304","12","4"
"20100","12632","1.86","14525983172","18","4"
"20100","12633","1.87","11057813729","1","2"
"20100","12634","1.8","16877925827","1","1"
"20100","12635","1.75","11950950286","24","2"
"20100","12636","1.77","14954890419","24","1"
"20100","12637","1.98","15187249718","1","3"
"20100","12638","1.87","11363254268","1","1"
"20100","12639","1.64","18280364664","12","1"
"20100","12640","2.04","16500423135","12","4"
"20100","12641","2.18","17533371499","24","1"
"20100","12642","2.02","12264774961","18","4"
"20100","12643","1.91","16742107763","24","1"
"20180","12644","3.77","11345313824","18","1"
"20200","12645","17.5","14906525486","24","2"
"20100","12646","1.93","12317513239","12","1"
"20160","12647","11.4","18217112225","18","1"
"20100","12648","1.71","14814082004","1","1"
"20530","12649","17.9","19768590496","24","2"
"20800","12650","8.93","15578160661","18","2"
"20100","12651","1.91","13753446192","1","2"
"20140","12652","8.33","18848622903","1","1"
"20100","12653","2.02","11996502478","24","1"
"20100","12654","2.44","12793814163","1","2"
"20100","12655","2.16","12910135165","18","2"
"20150","12656","5.81","14927019276","18","2"
"20100","12657","2.08","16524276532","1","1"
"20180","12658","3.73","19183690646","24","1"
"20100","12659","2.06","16732973128","18","1"
"20100","12660","1.81","15784042998","18","2"
"20100","12661","1.83","13600380636","18","1"
"20100","12662","1.86","19132570655","12","2"
"20190","12663","4.08","17485841488","18","1"
"20100","12664","1.67","15767226641","24","2"
"20100","12665","2.13","13854705005","18","2"
"20600","12666","5.37","15837286496","1","2"
"20100","12667","2.25","14799434127","24","4"
"20100","12668","1.84","18190110793","12","2"
"20160","12669","12.81","17458394470","24","1"
"20100","12670","1.6","17994806891","18","1"
"20100","12671","1.97","15702671906","1","1"
"20100","12672","2.21","15825878483","24","2"
"20100","12673","1.66","18675303584","18","1"
"20150","12674","6.34","18173361056","18","3"
"20100","12675","2.02","15000675367","24","1"
"20100","12676","1.97","12206687209","24","3"
"20100","12677","2.04","13080266851","18","3"
"20100","12678","1.92","11326238983","12","2"
"20100","12679","2.12","15038228224","1","4"
"20100","12680","2.41","19775781105","18","1"
"20640","12681","5.47","17907669745","12","1"
"20730","12682","6.03","12392503131","1","1"
"20100","12683","2.35","14050159715","12","1"
"20100","12684","1.85","14012965621","18","4"
"20160","12685","15.17","13942078286","18","2"
"20100","12686","1.84","15689863086","18","1"
"20150","12687","6.21","16570974096","18","1"
"20100","12688","1.93","12333677937","18","4"
"20100","12689","1.94","14783355878","18","3"
"20100","12690","2.11","11031823954","1","1"
"20100","12691","1.98","15147354501","24","1"
"20100","12692","1.72","12720860976","1","1"
"20460","12693","8.49","18052713350","1","1"
"20100","12694","1.83","10790852278","12","4"
"20380","12695","7.52","12177745516","1","1"
"20100","12696","1.78","14771123976","12","1"
"20100","12697","2.15","13408002853","1","1"
"20160","12698","12.18","12306926611","18","2"
"20160","12699","11.2","19753106182","12","1"
"20100","12700","2.1","10825696194","24","1"
"20200","12701","18.34","19527108482","1","2"
"20100","12702","1.92","19436197005","18","2"
"20100","12703","2.39","18933971726","1","3"
"20160","12704","12.85","16731590107","12","1"
"20100","12705","2.23","12241611505","24","2"
"20100","12706","1.89","12077344364","18","1"
"20640","12707","4.22","19058733515","12","1"
"20100","12708","2.06","16764195280","24","1"
"20100","12709","2.15","11481805074","12","1"
"20100","12710","2.01","16304387532","1","1"
"20160","12711","11.2","17315294342","18","2"
"20160","12712","12.19","11749127804","18","1"
"20150","12713","6.77","16833914947","18","1"
"20100","12714","2.05","11091904097","1","4"
"20100","12715","2","14280145514","24","3"
"20100","12716","1.94","14844678140","18","3"
"20600","12717","4.96","11807623081","18","1"
"20100","12718","1.94","10309222118","1","2"
"20100","12719","1.83","19455258055","18","3"
"20100","12720","1.89","10974249501","1","2"
"20100","12721","2.08","10478241394","12","1"
"20100","12722","1.87","18370461079","12","3"
"20100","12723","1.72","17365833946","1","2"
"20100","12724","1.93","16869070193","1","1"
"20640","12725","5.29","12655095074","12","3"
"20100","12726","2.35","11656904614","12","2"
"20100","12727","2","12382477198","1","1"
"20100","12728","2.01","17258551296","12","1"
"20100","12729","2.03","10670666282","24","1"
"20100","12730","1.99","10338283719","12","1"
"20100","12731","1.85","12918684437","18","3"
"20100","12732","2.04","17173727810","12","2"
"20160","12733","13.71","17887978275","12","1"
"20620","12734","15.47","14463550138","12","1"
"20160","12735","14.25","17154316342","18","1"
"20190","12736","3.93","14958959963","1","2"
"20100","12737","1.93","11039578704","18","1"
"20100","12738","1.99","17294256923","12","3"
"20100","12739","1.63","14992468977","1","2"
"20100","12740","2","13164820956","1","1"
"20100","12741","1.43","18881372891","18","2"
"20100","12742","1.98","17691578334","18","1"
"20100","12743","1.99","11978109533","12","1"
"20100","12744","2.25","18653020334","18","1"
"20100","12745","2.11","10204090825","18","4"
"20100","12746","2.06","13209386673","1","2"
"20100","12747","2.03","11321160768","1","4"
"20100","12748","2.14","12403666450","1","2"
"20180","12749","3.56","11940861871","1","4"
"20100","12750","1.66","12156389521","24","4"
"20180","12751","4.5","15295236675","12","3"
"20100","12752","2.07","18357217858","1","2"
"20150","12753","5.25","15035016575","1","1"
"20100","12754","1.93","18247337069","12","1"
"20100","12755","2.19","15318394862","1","2"
"20380","12756","8.18","13821252174","24","1"
"20100","12757","2.1","17298253945","24","2"
"20100","12758","1.85","15400127484","12","2"
"20150","12759","6.14","13436734850","1","3"
"20100","12760","1.8","11106376466","12","1"
"20100","12761","2.02","10507091029","12","1"
"20640","12762","5.22","10076194903","24","1"
"20380","12763","6.4","16664639278","1","3"
"20800","12764","7.11","14262093182","18","2"
"20100","12765","1.98","12439889012","1","2"
"20100","12766","2.04","13386936102","24","2"
"20100","12767","1.84","19608832605","18","1"
"20460","12768","7.66","16471295960","18","1"
"20220","12769","32.03","19529568676","24","1"
"20100","12770","2.07","17367981979","1","1"
"20100","12771","1.73","14883597794","18","2"
"20160","12772","11.93","10577488742","18","2"
"20380","12773","7.3","12222230967","24","1"
"20100","12774","2.1","18044418498","12","4"
"20100","12775","1.98","14007892771","18","1"
"20100","12776","1.92","19597270435","18","1"
"20100","12777","2.21","10820389699","18","3"
"20600","12778","4.94","12837321512","18","2"
"20100","12779","2.34","17150344192","12","1"
"20100","12780","1.85","16813235419","18","2"
"20460","12781","9.26","17987982013","18","1"
"20220","12782","28.62","19303377955","12","1"
"20600","12783","5.15","13716736673","12","1"
"20730","12784","5.23","19602870477","18","1"
"20100","12785","2.03","16710418750","24","1"
"20100","12786","1.98","12968158481","12","1"
"20100","12787","1.65","17747663404","18","2"
"20380","12788","6.77","13696714023","18","3"
"20100","12789","2.18","15479167466","12","1"
"20100","12790","1.85","19112428660","1","1"
"20100","12791","2.15","18631096135","24","3"
"20100","12792","1.74","17514854305","24","2"
"20100","12793","2","19816064277","18","1"
"20100","12794","1.98","18958484796","18","2"
"20100","12795","1.64","18277391006","12","1"
"20100","12796","2.18","17483623712","1","1"
"20100","12797","2.08","11157947044","24","2"
"20100","12798","1.79","17369924572","18","3"
"20100","12799","1.86","16526875717","18","3"
"20100","12800","1.85","15625511159","1","2"
"20260","12801","57.03","12618315082","18","2"
"20100","12802","1.68","15962865158","1","3"
"20160","12803","12.11","18653783006","18","3"
"20100","12804","2.02","17060799992","18","2"
"20100","12805","1.67","10520432668","1","1"
"20100","12806","2.12","16937552947","12","3"
"20100","12807","1.95","11838359756","24","3"
"20380","12808","8.07","18402511228","1","3"
"20100","12809","2.44","14257711041","18","1"
"20600","12810","5.23","13769448499","12","1"
"20100","12811","1.95","13735288830","18","3"
"20380","12812","6.46","13903657331","12","2"
"20100","12813","2.02","16130197478","1","2"
"20160","12814","13.26","15540967753","24","1"
"20100","12815","1.86","19475183310","18","1"
"20100","12816","1.69","10309071824","12","2"
"20100","12817","1.98","16828917837","12","3"
"20100","12818","2.02","10622850695","24","2"
"20150","12819","6.03","11847241586","18","1"
"20160","12820","9.91","19266863263","24","1"
"20620","12821","16.06","14806798583","1","2"
"20100","12822","1.64","13588574230","12","2"
"20100","12823","1.95","13274509321","18","1"
"20100","12824","2.19","17277359388","1","2"
"20190","12825","4.71","10261420902","24","1"
"20100","12826","2.35","14855732051","24","1"
"20100","12827","1.81","14031971234","18","1"
"20100","12828","1.91","17256703855","24","4"
"20160","12829","13.34","13694561386","24","1"
"20160","12830","9.05","11419128245","1","3"
"20160","12831","13.61","14504782759","1","2"
"20100","12832","1.88","19985365164","18","1"
"20100","12833","1.84","14819518517","18","1"
"20160","12834","13.66","16387435405","12","1"
"20640","12835","4.77","12582704620","24","3"
"20800","12836","6.5","16665011737","18","1"
"20140","12837","9.43","14207437530","24","2"
"20100","12838","2.02","19439496728","12","1"
"20100","12839","2.04","11115265291","1","2"
"20100","12840","1.54","10356175028","24","1"
"20100","12841","2.22","18477760879","12","1"
"20100","12842","2.3","19958738516","18","4"
"20100","12843","2.01","14785285442","1","2"
"20100","12844","1.89","16322654936","24","1"
"20380","12845","8.19","19542489861","24","1"
"20150","12846","5.69","11706902706","1","4"
"20600","12847","5.42","13081581181","12","1"
"20100","12848","2.03","18013819405","18","1"
"20160","12849","12.94","13996274535","24","2"
"20100","12850","2.04","16981084491","24","3"
"20160","12851","11.12","16400298178","12","3"
"20100","12852","1.92","16922329767","12","1"
"20100","12853","2.15","17815940682","1","1"
"20200","12854","22.55","16942987184","1","3"
"20100","12855","1.79","16107266994","24","1"
"20100","12856","2.08","15061944076","1","1"
"20640","12857","4.73","14093184020","1","1"
"20160","12858","10.8","13040942524","12","1"
"20100","12859","1.88","10491248396","12","1"
"20380","12860","5.79","11006439999","12","4"
"20100","12861","2.26","15226474007","12","1"
"20730","12862","4.07","10360192875","18","1"
"20620","12863","16.32","10893661931","24","3"
"20100","12864","1.84","14987187676","24","1"
"20100","12865","2.27","14491063479","1","1"
"20150","12866","6.17","15633227601","1","4"
"20600","12867","5.63","16213893194","18","1"
"20100","12868","2.04","16915013223","12","1"
"20100","12869","2.13","13744208910","18","1"
"20100","12870","2.32","12145909214","24","2"
"20100","12871","2.18","14660095685","12","1"
"20100","12872","1.74","12533596523","1","4"
"20100","12873","1.82","15376164094","18","1"
"20100","12874","1.87","12761020622","18","2"
"20600","12875","5.19","18152021993","24","2"
"20100","12876","1.6","16294864270","12","2"
"20800","12877","6.84","10838315837","12","3"
"20100","12878","1.63","18783184716","12","2"
"20100","12879","2.42","13780787830","24","1"
"20100","12880","2.31","15325456744","18","2"
"20600","12881","4.92","13590754693","12","4"
"20100","12882","1.94","10674049934","18","2"
"20640","12883","5.81","12657379769","24","2"
"20100","12884","1.6","14894277118","18","1"
"20100","12885","1.99","14077754484","18","1"
"20160","12886","11.4","12706928221","12","1"
"20100","12887","1.79","17135270014","18","1"
"20190","12888","4.18","10574960800","1","1"
"20100","12889","2.25","13646781520","18","2"
"20100","12890","2.17","15163591279","18","1"
"20670","12891","9.81","17891779930","18","2"
"20100","12892","2.24","19604023961","24","1"
"20150","12893","5.98","19062488625","24","1"
"20100","12894","1.81","13666561349","1","2"
"20100","12895","2.19","15245840756","18","2"
"20640","12896","5.15","19426901257","12","2"
"20280","12897","15.87","17660568149","18","1"
"20160","12898","11.86","19096108067","1","4"
"20100","12899","1.98","15685720502","18","1"
"20100","12900","2.04","19147206241","12","1"
"20100","12901","2.18","17647942173","18","1"
"20100","12902","1.99","11766353729","1","2"
"20100","12903","2.19","11190116740","18","1"
"20600","12904","4.97","12507985531","1","1"
"20100","12905","1.76","10346125196","12","3"
"20200","12906","20.8","11640063691","12","4"
"20100","12907","2.05","15808056638","12","1"
"20640","12908","4.53","18819885550","24","1"
"20100","12909","2.39","16001393108","1","1"
"20180","12910","3.81","19749142131","12","4"
"20100","12911","1.82","17592484764","18","2"
"20150","12912","5.63","10650724364","12","2"
"20100","12913","2.04","16513593595","12","1"
"20160","12914","12.07","18132504799","18","1"
"20100","12915","1.63","11594876190","12","1"
"20150","12916","6.2","11583303843","12","1"
"20100","12917","1.95","13979635618","1","2"
"20100","12918","1.67","17532672761","12","2"
"20640","12919","4.58","17798509124","18","3"
"20100","12920","2.27","12720613450","18","2"
"20100","12921","1.99","11819231015","1","4"
"20100","12922","2.03","19369111962","24","2"
"20100","12923","1.78","12545795214","24","2"
"20180","12924","4.78","12476001517","12","1"
"20100","12925","1.74","12519624162","18","1"
"20160","12926","12.33","14446298182","24","2"
"20100","12927","1.82","12606761347","24","2"
"20140","12928","10.43","13694154134","18","4"
"20150","12929","6.27","12057421591","1","3"
"20100","12930","2.36","14984783257","24","1"
"20100","12931","2.12","12982025669","12","2"
"20190","12932","4","16687628286","18","2"
"20100","12933","1.96","16591653848","12","1"
"20100","12934","2.2","10110502559","18","1"
"20640","12935","4.74","16943179702","24","1"
"20100","12936","2.1","15012760061","24","4"
"20100","12937","1.67","17476210098","24","1"
"20600","12938","5.49","15929499506","12","1"
"20100","12939","2.28","13533417706","12","1"
"20100","12940","1.82","16630118630","24","2"
"20160","12941","12.63","19363753584","24","1"
"20150","12942","5.73","14164002314","12","1"
"20100","12943","2.04","10581714120","12","3"
"20100","12944","2.28","15620395998","1","1"
"20100","12945","1.87","18197282262","24","1"
"20100","12946","2.11","12081927599","1","1"
"20100","12947","2.44","15486748445","1","1"
"20160","12948","12.68","13620270420","1","1"
"20100","12949","2.18","11211617618","1","2"
"20100","12950","1.75","13663109383","24","3"
"20100","12951","1.88","11730180074","1","1"
"20100","12952","2.18","16431418450","1","2"
"20730","12953","5.19","18423630927","12","2"
"20100","12954","1.74","13283217954","18","1"
"20100","12955","2.16","17327119651","18","1"
"20100","12956","2.31","18947223358","12","1"
"20140","12957","11.13","18401149226","12","3"
"20640","12958","6.05","17650989257","18","2"
"20100","12959","1.93","19423970281","12","1"
"20100","12960","1.91","15991703438","24","1"
"20140","12961","10.55","10727764032","24","2"
"20160","12962","12.69","18641950349","1","2"
"20100","12963","1.8","14391520363","24","1"
"20100","12964","2.14","10865010700","24","4"
"20100","12965","2.11","16172483219","1","2"
"20100","12966","1.97","12226136518","18","4"
"20100","12967","1.84","10668725993","1","1"
"20100","12968","2.12","16632821831","1","2"
"20100","12969","2.17","19359260254","24","1"
"20160","12970","9.74","17544057835","24","1"
"20160","12971","11.98","13545821255","24","1"
"20100","12972","1.91","11368087357","12","1"
"20100","12973","2.12","12179430797","1","2"
"20100","12974","2.31","17736629086","12","4"
"20100","12975","1.8","14574209564","18","3"
"20160","12976","9.65","14107994724","24","4"
"20150","12977","5.98","18289540411","18","1"
"20100","12978","2.12","14254478106","1","4"
"20100","12979","2.38","12339096634","24","1"
"20100","12980","1.95","17558063340","1","1"
"20160","12981","13.3","16819565048","24","1"
"20100","12982","2.23","15565176653","24","2"
"20100","12983","1.69","10503802933","18","2"
"20160","12984","10.28","15510041821","1","1"
"20100","12985","2","10165353467","24","2"
"20160","12986","11.51","18719027436","12","4"
"20640","12987","5.26","16630062214","1","2"
"20100","12988","2.14","18786862718","1","1"
"20160","12989","11.06","14892253629","24","1"
"20220","12990","34.88","15354665092","18","2"
"20100","12991","2.3","19621743115","24","1"
"20100","12992","2.09","17561261621","18","1"
"20100","12993","2.06","19480669969","12","1"
"20100","12994","2.04","14736819332","18","2"
"20100","12995","2.1","11546317070","24","4"
"20100","12996","2.05","10034383668","24","4"
"20100","12997","2.1","15266021046","18","2"
"20100","12998","2.13","10068562134","24","1"
"20100","12999","2.71","15998181537","12","3"
"20100","13000","1.9","19929973718","24","1"
"20100","13001","2.14","13851672316","12","2"
"20100","13002","1.86","11569364203","18","1"
"20100","13003","2.34","12181002296","12","1"
"20100","13004","1.8","11417999188","12","1"
"20150","13005","4.86","11819240567","18","1"
"20100","13006","1.95","16822394396","24","1"
